entry_date,exit_date,direction,entry_level,exit_level,pnl_pct,reason,exit_reason,hold_days
2012-03-30,2012-04-02,SHORT,115.09578176684052,111.5750273418428,3.059,signal_entry,signal_flip,3
2012-04-03,2012-04-04,LONG,111.5750273418428,111.5750273418428,0.0,signal_entry,signal_flip,1
2012-04-05,2012-04-06,SHORT,111.5750273418428,113.32419908570263,-1.568,signal_entry,signal_flip,1
2012-04-11,2012-04-12,LONG,113.32419908570263,116.14321885354136,2.488,signal_entry,signal_flip,1
2012-04-12,2012-04-13,SHORT,116.14321885354136,116.65979690516863,-0.445,signal_entry,signal_flip,1
2012-04-13,2012-04-16,LONG,116.65979690516863,115.58421610201815,-0.922,signal_entry,signal_flip,3
2012-04-17,2012-04-18,SHORT,115.58421610201815,117.09587730446054,-1.308,signal_entry,signal_flip,1
2012-04-18,2012-04-19,LONG,117.09587730446054,116.85191813932033,-0.208,signal_entry,signal_flip,1
2012-04-19,2012-04-20,SHORT,116.85191813932033,117.39449176256205,-0.464,signal_entry,signal_flip,1
2012-04-23,2012-04-24,LONG,117.39449176256205,115.78684173816976,-1.369,signal_entry,signal_flip,1
2012-04-24,2012-04-25,SHORT,115.78684173816976,119.4182958956745,-3.136,signal_entry,signal_flip,1
2012-04-25,2012-04-26,LONG,119.4182958956745,119.22121010095184,-0.165,signal_entry,signal_flip,1
2012-04-26,2012-04-27,SHORT,119.22121010095184,118.57789356683435,0.54,signal_entry,signal_flip,1
2012-04-30,2012-05-01,LONG,118.57789356683435,118.57789356683435,0.0,signal_entry,signal_flip,1
2012-05-04,2012-05-07,SHORT,118.57789356683435,123.87760070770231,-4.469,signal_entry,signal_flip,3
2012-05-07,2012-05-08,LONG,123.87760070770231,123.75687567039563,-0.097,signal_entry,signal_flip,1
2012-05-10,2012-05-11,SHORT,123.75687567039563,121.70653590119026,1.657,signal_entry,signal_flip,1
2012-05-11,2012-05-14,LONG,121.70653590119026,121.0341718834728,-0.552,signal_entry,signal_flip,3
2012-05-17,2012-05-18,SHORT,121.0341718834728,121.08570988905437,-0.043,signal_entry,signal_flip,1
2012-05-21,2012-05-22,LONG,121.08570988905437,122.91158671740517,1.508,signal_entry,signal_flip,1
2012-05-24,2012-05-25,SHORT,122.91158671740517,119.72060941771994,2.596,signal_entry,signal_flip,1
2012-05-29,2012-05-30,LONG,119.72060941771994,122.38204859369101,2.223,signal_entry,signal_flip,1
2012-05-30,2012-05-31,SHORT,122.38204859369101,122.77216924022059,-0.319,signal_entry,signal_flip,1
2012-05-31,2012-06-01,LONG,122.77216924022059,122.64084689174145,-0.107,signal_entry,signal_flip,1
2012-06-01,2012-06-04,SHORT,122.64084689174145,125.2807106846879,-2.153,signal_entry,signal_flip,3
2012-06-04,2012-06-05,LONG,125.2807106846879,122.77694529588774,-1.999,signal_entry,signal_flip,1
